work_local,position_link,position_type,position_name,publish_times,position_number
北京,position_detail.php?id=39068&keywords=&tid=0&lid=0,市场类,23671-企鹅号商务合作高级经理（海外内容商务方向）,2018-04-16,1
深圳,position_detail.php?id=39057&keywords=&tid=0&lid=0,产品/项目类,18425-金融安全产品经理（深圳）,2018-04-16,1
北京,position_detail.php?id=39059&keywords=&tid=0&lid=0,内容编辑类,22088-腾讯体育社区运营编辑（北京）,2018-04-16,1
深圳,position_detail.php?id=39060&keywords=&tid=0&lid=0,产品/项目类,SNG01-QQ创意策划经理（深圳）,2018-04-16,2
深圳,position_detail.php?id=39063&keywords=&tid=0&lid=0,产品/项目类,21309-IT类目经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=39051&keywords=&tid=0&lid=0,产品/项目类,18425-金融监管科技产品经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=39053&keywords=&tid=0&lid=0,技术类,18436-互联网金融系统java架构师（深圳）,2018-04-16,1
深圳,position_detail.php?id=39056&keywords=&tid=0&lid=0,产品/项目类,MIG06-应用宝产品策划经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=39062&keywords=&tid=0&lid=0,产品/项目类,SNG01-QQ新媒体运营经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=39049&keywords=&tid=0&lid=0,技术类,GY0-音频开发应用工程师（深圳）,2018-04-16,1
上海,position_detail.php?id=39052&keywords=&tid=0&lid=0,产品/项目类,18425-金融监管科技产品经理（上海）,2018-04-16,1
深圳,position_detail.php?id=39054&keywords=&tid=0&lid=0,技术类,18436-金融数据体系分析师（深圳）,2018-04-16,2
北京,position_detail.php?id=39043&keywords=&tid=0&lid=0,技术类,22086-腾讯体育PHP后台开发（北京）,2018-04-16,1
深圳,position_detail.php?id=39045&keywords=&tid=0&lid=0,产品/项目类,项目经理 (深圳),2018-04-16,1
深圳,position_detail.php?id=39047&keywords=&tid=0&lid=0,技术类,18436-NLP算法研究员,2018-04-16,1
